,,,,,,,,,,
12/19/2015,0:07,FP #2S ,FLYING J #746 2025 S 900 W  ,SALT LAKE CITY ,UT  ,184.65,2.46,-454.07,-1, 
12/19/2015,0:07,FP TOTAL ,FLYING J #746 2025 S 900 W  ,SALT LAKE CITY ,UT  , , ,-454.07,-1,43981.02
12/19/2015,2:43,FP #2S ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  ,162.61,2.17,-352.7,-1, 
12/19/2015,2:43,FP Discount ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,81.31, , 
12/19/2015,2:43,FP TOTAL ,TA-LIMON I-70 & HWY 24  ,LIMON ,CO  , , ,-271.39,-1,43708.63
12/19/2015,4:45,FP #2S ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  ,140.04,2.38,-333.15,-1, 
12/19/2015,4:45,FP OTH ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  ,17.99,2.85,-51.25, , 
12/19/2015,4:45,FP Discount ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,91.03, , 
12/19/2015,4:45,FP TOTAL ,TA-LODI (SEVILLE) 8834 LAKE RD  ,SEVILLE ,OH  , , ,-293.37,-1,43414.26
12/19/2015,6:33,FP #2S ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  ,132.09,2.67,-352.54,-1, 
12/19/2015,6:33,FP Discount ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,85.99, , 
12/19/2015,6:33,FP TOTAL ,TA-BOISE 4115 BROADWAY  ,BOISE ,ID  , , ,-266.55,-1,43146.71
12/19/2015,7:12,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,95.02,2.48,-235.55,-1, 
12/19/2015,7:12,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,2.39,2.8,-6.7, , 
12/19/2015,7:12,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,60.24, , 
12/19/2015,7:12,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-182.01,-1,42963.7
12/19/2015,8:28,FP #2S ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  ,127.31,2.2,-279.95,-1, 
12/19/2015,8:28,FP Discount ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  , , ,86.44, , 
12/19/2015,8:28,FP TOTAL ,TA-ASHLAND 100 N CARTER RD  ,ASHLAND ,VA  , , ,-193.51,-1,42769.19
12/19/2015,12:11,FP #2S ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,120.92,2.33,-281.62,-1, 
12/19/2015,12:11,FP OTH ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  ,4.18,2.86,-11.94, , 
12/19/2015,12:11,FP Discount ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,81.98, , 
12/19/2015,12:11,FP TOTAL ,PETRO FUEL #30 I-65 EXIT 86  ,GLENDALE ,KY  , , ,-211.58,-1,42556.61
12/19/2015,13:15,FP #2S ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,108.26,2.07,-223.98,-1, 
12/19/2015,13:15,FP OTH ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  ,10.88,2.86,-31.11, , 
12/19/2015,13:15,FP Discount ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,22.84, , 
12/19/2015,13:15,FP TOTAL ,PETRO FUEL #3 I-80 & CURTIS RD EXIT 310  ,LARAMIE ,WY  , , ,-232.25,-1,42323.36
12/19/2015,13:48,FP #2S ,TA-WILLCOX 1501 N. FORT GRANT RD  ,WILLCOX ,AZ  ,129.1,2.28,-294.21,-1, 
12/19/2015,13:48,FP Discount ,TA-WILLCOX 1501 N. FORT GRANT RD  ,WILLCOX ,AZ  , , ,35.76, , 
12/19/2015,13:48,FP TOTAL ,TA-WILLCOX 1501 N. FORT GRANT RD  ,WILLCOX ,AZ  , , ,-258.45,-1,42063.91
12/19/2015,14:34,FP #2S ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,75.24,2.48,-186.53,-1, 
12/19/2015,14:34,FP OTH ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  ,12.48,2.8,-34.95, , 
12/19/2015,14:34,FP Discount ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,47.7, , 
12/19/2015,14:34,FP TOTAL ,TA-PAROWAN NORTH PARAWAN EXIT  ,PAROWAN ,UT  , , ,-173.78,-1,41889.13
12/19/2015,23:18,FP #2S ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  ,91.29,2.4,-219,-1, 
12/19/2015,23:18,FP Discount ,PETRO FUEL #22 3181 BANKHEAD HWY  ,ATLANTA ,GA  , , ,60.16, , 
12/19/2015,23:18,FP TOTAL ,PETRO FUEL #22 318,,,,,,,
