Date,Ref/Check,Description,Amount,Balance,Memo,Category
7/31/2015,,Accr Earning Pymt Added to Account,0.02,100.02,,
7/31/2015,,Daily Ledger Bal,,100.02,,
8/4/2015,,IB Transfer Deposit IB TR FROM ACCT *9315 Transfer Online to D,778.75,878.77,,
8/4/2015,,Alliance Payoff MMA to LOC Sweep,-778.75,100.02,,
8/4/2015,,ACH Withdrawal EXT TRF ONLINE,-778.75,-678.73,,
8/4/2015,,Alliance Payoff LOC to MMA Sweep,778.75,100.02,,
8/4/2015,,Daily Ledger Bal,,100.02,,
8/16/2015,,Analysis Charge 07 2015 Charge,-25.31,74.71,,
8/16/2015,,Daily Ledger Bal,,74.71,,
8/17/2015,,IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D,500,574.71,,
8/17/2015,,Transfer Withdrawal Due Diligence Fee -Seasons Trucking,-250,324.71,,
8/17/2015,,Transfer Withdrawal Due Diligence Fee - Transport Management Ser,-250,74.71,,
8/17/2015,,Daily Ledger Bal,,74.71,,
8/18/2015,,Alliance Payoff MMA to LOC Sweep,-525.31,-450.6,,
8/18/2015,,Alliance Payoff LOC to MMA Sweep,525.31,74.71,,
8/18/2015,,Daily Ledger Bal,,74.71,,
8/31/2015,,Accr Earning Pymt Added to Account,0.02,74.73,,
8/31/2015,,Daily Ledger Bal,,74.73,,
