"Date","Ref/Check","Description","Amount","Balance","Memo","Category"
07/27/2015,,"Daily Ledger Bal",,795.05,,
07/28/2015,,"IB Transfer Deposit IB TR FROM ACCT *0108 Transfer Online to D",600,1395.05,,
07/28/2015,,"IB Transfer W/D IB TR TO ACCT *9315 Transfer Online from",-200,1195.05,,
07/28/2015,,"IB Transfer W/D IB TR TO ACCT *9315 Transfer Online from",-600,595.05,,
07/28/2015,,"Daily Ledger Bal",,595.05,,
07/31/2015,,"IB Transfer Deposit IB TR FROM ACCT *0108 Transfer Online to D",700,1295.05,,
07/31/2015,,"ACH Payment EXT TRF ONLINE",-702,593.05,,
07/31/2015,,"Accr Earning Pymt Added to Account",.06,593.11,,
07/31/2015,,"Service Charge",-10,583.11,,
07/31/2015,,"Daily Ledger Bal",,583.11,,
08/06/2015,,"IB Transfer Deposit IB TR FROM ACCT *3068 Transfer Online to D",200,783.11,,
08/06/2015,,"ACH Payment EXT TRF ONLINE",-124.15,658.96,,
08/06/2015,,"Daily Ledger Bal",,658.96,,
08/07/2015,,"ACH Deposit EXT TRF ONLINE",4000,4658.96,,
08/07/2015,,"IB Transfer Deposit IB TR FROM ACCT *9306 Transfer Online to D",6000,10658.96,,
08/07/2015,,"ACH Payment EXT TRF ONLINE",-3000,7658.96,,
08/07/2015,,"Daily Ledger Bal",,7658.96,,
08/10/2015,,"ACH Payment EXT TRF ONLINE",-3000,4658.96,,
08/10/2015,,"Daily Ledger Bal",,4658.96,,
